commodity,year,month,price,date
Beras Premium,2021,Januari,12319,1/1/2021
Beras Medium,2021,Januari,10865,1/1/2021
Kedelai Biji Kering,2021,Januari,10607,1/1/2021
Bawang Merah,2021,Januari,30329,1/1/2021
Bawang Putih (Bonggol),2021,Januari,26308,1/1/2021
Cabai Merah Keriting,2021,Januari,47968,1/1/2021
Cabai Rawit Merah,2021,Januari,68226,1/1/2021
Daging Sapi Murni,2021,Januari,121836,1/1/2021
Daging Ayam Ras,2021,Januari,34531,1/1/2021
Telur Ayam Ras,2021,Januari,25454,1/1/2021
Gula Pasir Lokal/Curah,2021,Januari,13513,1/1/2021
Tepung Terigu Curah,2021,Januari,8291,1/1/2021
Minyak Goreng Kemasan,2021,Januari,12577,1/1/2021
Beras Premium,2021,Februari,12316,2/1/2021
Beras Medium,2021,Februari,10858,2/1/2021
Kedelai Biji Kering,2021,Februari,10804,2/1/2021
Bawang Merah,2021,Februari,29996,2/1/2021
Bawang Putih (Bonggol),2021,Februari,26708,2/1/2021
Cabai Merah Keriting,2021,Februari,48132,2/1/2021
Cabai Rawit Merah,2021,Februari,74037,2/1/2021
Daging Sapi Murni,2021,Februari,122182,2/1/2021
Daging Ayam Ras,2021,Februari,33699,2/1/2021
Telur Ayam Ras,2021,Februari,24868,2/1/2021
Gula Pasir Lokal/Curah,2021,Februari,13420,2/1/2021
Tepung Terigu Curah,2021,Februari,8312,2/1/2021
Minyak Goreng Kemasan,2021,Februari,12602,2/1/2021
Beras Premium,2021,Maret,12275,3/1/2021
Beras Medium,2021,Maret,10837,3/1/2021
Kedelai Biji Kering,2021,Maret,10955,3/1/2021
Bawang Merah,2021,Maret,33050,3/1/2021
Bawang Putih (Bonggol),2021,Maret,28356,3/1/2021
Cabai Merah Keriting,2021,Maret,48400,3/1/2021
Cabai Rawit Merah,2021,Maret,92656,3/1/2021
Daging Sapi Murni,2021,Maret,122031,3/1/2021
Daging Ayam Ras,2021,Maret,33457,3/1/2021
Telur Ayam Ras,2021,Maret,24541,3/1/2021
Gula Pasir Lokal/Curah,2021,Maret,13355,3/1/2021
Tepung Terigu Curah,2021,Maret,8351,3/1/2021
Minyak Goreng Kemasan,2021,Maret,12698,3/1/2021
Beras Premium,2021,April,12211,4/1/2021
Beras Medium,2021,April,10754,4/1/2021
Kedelai Biji Kering,2021,April,11205,4/1/2021
Bawang Merah,2021,April,31729,4/1/2021
Bawang Putih (Bonggol),2021,April,28927,4/1/2021
Cabai Merah Keriting,2021,April,43568,4/1/2021
Cabai Rawit Merah,2021,April,68820,4/1/2021
Daging Sapi Murni,2021,April,124658,4/1/2021
Daging Ayam Ras,2021,April,36096,4/1/2021
Telur Ayam Ras,2021,April,25235,4/1/2021
Gula Pasir Lokal/Curah,2021,April,13377,4/1/2021
Tepung Terigu Curah,2021,April,8392,4/1/2021
Minyak Goreng Kemasan,2021,April,12850,4/1/2021
Beras Premium,2021,Mei,12183,5/1/2021
Beras Medium,2021,Mei,10735,5/1/2021
Kedelai Biji Kering,2021,Mei,11374,5/1/2021
Bawang Merah,2021,Mei,31355,5/1/2021
Bawang Putih (Bonggol),2021,Mei,28781,5/1/2021
Cabai Merah Keriting,2021,Mei,36964,5/1/2021
Cabai Rawit Merah,2021,Mei,58653,5/1/2021
Daging Sapi Murni,2021,Mei,126934,5/1/2021
Daging Ayam Ras,2021,Mei,37084,5/1/2021
Telur Ayam Ras,2021,Mei,25114,5/1/2021
Gula Pasir Lokal/Curah,2021,Mei,13398,5/1/2021
Tepung Terigu Curah,2021,Mei,8434,5/1/2021
Minyak Goreng Kemasan,2021,Mei,13127,5/1/2021
Beras Premium,2021,Juni,12199,6/1/2021
Beras Medium,2021,Juni,10749,6/1/2021
Kedelai Biji Kering,2021,Juni,11740,6/1/2021
Bawang Merah,2021,Juni,29914,6/1/2021
Bawang Putih (Bonggol),2021,Juni,28097,6/1/2021
Cabai Merah Keriting,2021,Juni,28380,6/1/2021
Cabai Rawit Merah,2021,Juni,46728,6/1/2021
Daging Sapi Murni,2021,Juni,124774,6/1/2021
Daging Ayam Ras,2021,Juni,35866,6/1/2021
Telur Ayam Ras,2021,Juni,25325,6/1/2021
Gula Pasir Lokal/Curah,2021,Juni,13347,6/1/2021
Tepung Terigu Curah,2021,Juni,8401,6/1/2021
Minyak Goreng Kemasan,2021,Juni,13270,6/1/2021
Beras Premium,2021,Juli,12320,7/1/2021
Beras Medium,2021,Juli,10846,7/1/2021
Kedelai Biji Kering,2021,Juli,11859,7/1/2021
Bawang Merah,2021,Juli,31897,7/1/2021
Bawang Putih (Bonggol),2021,Juli,29077,7/1/2021
Cabai Merah Keriting,2021,Juli,36599,7/1/2021
Cabai Rawit Merah,2021,Juli,63021,7/1/2021
Daging Sapi Murni,2021,Juli,125917,7/1/2021
Daging Ayam Ras,2021,Juli,34537,7/1/2021
Telur Ayam Ras,2021,Juli,25107,7/1/2021
Gula Pasir Lokal/Curah,2021,Juli,13345,7/1/2021
Tepung Terigu Curah,2021,Juli,8481,7/1/2021
Minyak Goreng Kemasan,2021,Juli,14451,7/1/2021
Beras Premium,2021,Agustus,12321,8/1/2021
Beras Medium,2021,Agustus,10820,8/1/2021
Kedelai Biji Kering,2021,Agustus,11821,8/1/2021
Bawang Merah,2021,Agustus,32657,8/1/2021
Bawang Putih (Bonggol),2021,Agustus,29330,8/1/2021
Cabai Merah Keriting,2021,Agustus,30963,8/1/2021
Cabai Rawit Merah,2021,Agustus,46882,8/1/2021
Daging Sapi Murni,2021,Agustus,125303,8/1/2021
Daging Ayam Ras,2021,Agustus,33539,8/1/2021
Telur Ayam Ras,2021,Agustus,25028,8/1/2021
Gula Pasir Lokal/Curah,2021,Agustus,13301,8/1/2021
Tepung Terigu Curah,2021,Agustus,8472,8/1/2021
Minyak Goreng Kemasan,2021,Agustus,14861,8/1/2021
Beras Premium,2021,September,12318,9/1/2021
Beras Medium,2021,September,10810,9/1/2021
Kedelai Biji Kering,2021,September,11784,9/1/2021
Bawang Merah,2021,September,28890,9/1/2021
Bawang Putih (Bonggol),2021,September,28581,9/1/2021
Cabai Merah Keriting,2021,September,28052,9/1/2021
Cabai Rawit Merah,2021,September,35584,9/1/2021
Daging Sapi Murni,2021,September,125214,9/1/2021
Daging Ayam Ras,2021,September,34391,9/1/2021
Telur Ayam Ras,2021,September,23474,9/1/2021
Gula Pasir Lokal/Curah,2021,September,13277,9/1/2021
Tepung Terigu Curah,2021,September,8488,9/1/2021
Minyak Goreng Kemasan,2021,September,15244,9/1/2021
Beras Premium,2021,Oktober,12333,10/1/2021
Beras Medium,2021,Oktober,10823,10/1/2021
Kedelai Biji Kering,2021,Oktober,11811,10/1/2021
Bawang Merah,2021,Oktober,28004,10/1/2021
Bawang Putih (Bonggol),2021,Oktober,28351,10/1/2021
Cabai Merah Keriting,2021,Oktober,32515,10/1/2021
Cabai Rawit Merah,2021,Oktober,36846,10/1/2021
Daging Sapi Murni,2021,Oktober,125353,10/1/2021
Daging Ayam Ras,2021,Oktober,35184,10/1/2021
Telur Ayam Ras,2021,Oktober,22611,10/1/2021
Gula Pasir Lokal/Curah,2021,Oktober,13289,10/1/2021
Tepung Terigu Curah,2021,Oktober,8502,10/1/2021
Minyak Goreng Kemasan,2021,Oktober,15938,10/1/2021
Beras Premium,2021,November,12331,11/1/2021
Beras Medium,2021,November,10819,11/1/2021
Kedelai Biji Kering,2021,November,11822,11/1/2021
Bawang Merah,2021,November,26510,11/1/2021
Bawang Putih (Bonggol),2021,November,27976,11/1/2021
Cabai Merah Keriting,2021,November,38338,11/1/2021
Cabai Rawit Merah,2021,November,35465,11/1/2021
Daging Sapi Murni,2021,November,125497,11/1/2021
Daging Ayam Ras,2021,November,35118,11/1/2021
Telur Ayam Ras,2021,November,24069,11/1/2021
Gula Pasir Lokal/Curah,2021,November,13332,11/1/2021
Tepung Terigu Curah,2021,November,8576,11/1/2021
Minyak Goreng Kemasan,2021,November,17748,11/1/2021
Beras Premium,2021,Desember,12378,12/1/2021
Beras Medium,2021,Desember,10847,12/1/2021
Kedelai Biji Kering,2021,Desember,11898,12/1/2021
Bawang Merah,2021,Desember,26854,12/1/2021
Bawang Putih (Bonggol),2021,Desember,28129,12/1/2021
Cabai Merah Keriting,2021,Desember,45231,12/1/2021
Cabai Rawit Merah,2021,Desember,72410,12/1/2021
Daging Sapi Murni,2021,Desember,126181,12/1/2021
Daging Ayam Ras,2021,Desember,35497,12/1/2021
Telur Ayam Ras,2021,Desember,25943,12/1/2021
Gula Pasir Lokal/Curah,2021,Desember,13392,12/1/2021
Tepung Terigu Curah,2021,Desember,8688,12/1/2021
Minyak Goreng Kemasan,2021,Desember,19064,12/1/2021
Beras Premium,2022,Januari,12438,1/1/2022
Beras Medium,2022,Januari,10902,1/1/2022
Kedelai Biji Kering,2022,Januari,12108,1/1/2022
Bawang Merah,2022,Januari,28672,1/1/2022
Bawang Putih (Bonggol),2022,Januari,28882,1/1/2022
Cabai Merah Keriting,2022,Januari,37987,1/1/2022
Cabai Rawit Merah,2022,Januari,60194,1/1/2022
Daging Sapi Murni,2022,Januari,126545,1/1/2022
Daging Ayam Ras,2022,Januari,37787,1/1/2022
Telur Ayam Ras,2022,Januari,27384,1/1/2022
Gula Pasir Lokal/Curah,2022,Januari,13844,1/1/2022
Tepung Terigu Curah,2022,Januari,8948,1/1/2022
Minyak Goreng Kemasan,2022,Januari,19692,1/1/2022
Minyak Goreng Curah,2022,Januari,,1/1/2022
Jagung Tk. Peternak,2022,Januari,,1/1/2022
Beras Premium,2022,Februari,12390,2/1/2022
Beras Medium,2022,Februari,10880,2/1/2022
Kedelai Biji Kering,2022,Februari,12378,2/1/2022
Bawang Merah,2022,Februari,31832,2/1/2022
Bawang Putih (Bonggol),2022,Februari,29113,2/1/2022
Cabai Merah Keriting,2022,Februari,37902,2/1/2022
Cabai Rawit Merah,2022,Februari,49521,2/1/2022
Daging Sapi Murni,2022,Februari,126336,2/1/2022
Daging Ayam Ras,2022,Februari,35962,2/1/2022
Telur Ayam Ras,2022,Februari,24036,2/1/2022
Gula Pasir Lokal/Curah,2022,Februari,14197,2/1/2022
Tepung Terigu Curah,2022,Februari,9138,2/1/2022
Minyak Goreng Kemasan,2022,Februari,18228,2/1/2022
Minyak Goreng Curah,2022,Februari,,2/1/2022
Jagung Tk. Peternak,2022,Februari,,2/1/2022
Beras Premium,2022,Maret,12433,3/1/2022
Beras Medium,2022,Maret,10919,3/1/2022
Kedelai Biji Kering,2022,Maret,13057,3/1/2022
Bawang Merah,2022,Maret,35044,3/1/2022
Bawang Putih (Bonggol),2022,Maret,30453,3/1/2022
Cabai Merah Keriting,2022,Maret,48708,3/1/2022
Cabai Rawit Merah,2022,Maret,62015,3/1/2022
Daging Sapi Murni,2022,Maret,128553,3/1/2022
Daging Ayam Ras,2022,Maret,36295,3/1/2022
Telur Ayam Ras,2022,Maret,24844,3/1/2022
Gula Pasir Lokal/Curah,2022,Maret,14391,3/1/2022
Tepung Terigu Curah,2022,Maret,9348,3/1/2022
