region,month,inflation,year,date
KAB ACEH TENGAH,Januari,6.08,2026,1/1/2026
MEULABOH,Januari,3.42,2026,1/1/2026
KAB ACEH TENGAH,Februari,4.73,2026,2/1/2026
KAB ACEH TENGAH,Maret,2.76,2026,3/1/2026
KAB ACEH TENGAH,April,1.21,2026,4/1/2026
KAB ACEH TENGAH,Mei,3.94,2026,5/1/2026
MEULABOH,Februari,5.44,2026,2/1/2026
MEULABOH,Maret,3.86,2026,3/1/2026
MEULABOH,April,3.04,2026,4/1/2026
MEULABOH,Mei,4.85,2026,5/1/2026
KAB ACEH TAMIANG,Januari,8.59,2026,1/1/2026
KAB ACEH TAMIANG,Februari,4.13,2026,2/1/2026
KAB ACEH TAMIANG,Maret,4.57,2026,3/1/2026
KAB ACEH TAMIANG,April,4.47,2026,4/1/2026
KAB ACEH TAMIANG,Mei,9.19,2026,5/1/2026
KOTA BANDA ACEH,Januari,6.23,2026,1/1/2026
KOTA BANDA ACEH,Februari,7.86,2026,2/1/2026
KOTA BANDA ACEH,Maret,7.27,2026,3/1/2026
KOTA BANDA ACEH,April,4.22,2026,4/1/2026
KOTA BANDA ACEH,Mei,7.94,2026,5/1/2026
KOTA LHOKSEUMAWE,Januari,5.73,2026,1/1/2026
KOTA LHOKSEUMAWE,Februari,6.24,2026,2/1/2026
KOTA LHOKSEUMAWE,Maret,6.65,2026,3/1/2026
KOTA LHOKSEUMAWE,April,5.7,2026,4/1/2026
KOTA LHOKSEUMAWE,Mei,7.28,2026,5/1/2026
KAB LABUHANBATU,Januari,0.43,2026,1/1/2026
KAB LABUHANBATU,Februari,2.83,2026,2/1/2026
KAB LABUHANBATU,Maret,1.79,2026,3/1/2026
KAB LABUHANBATU,April,3.55,2026,4/1/2026
KAB LABUHANBATU,Mei,8.14,2026,5/1/2026
KAB KARO,Januari,1.98,2026,1/1/2026
KAB KARO,Februari,2.98,2026,2/1/2026
KAB KARO,Maret,3.11,2026,3/1/2026
KAB KARO,April,3.64,2026,4/1/2026
KAB KARO,Mei,6.93,2026,5/1/2026
KAB DELI SERDANG,Januari,2.56,2026,1/1/2026
KAB DELI SERDANG,Februari,2.07,2026,2/1/2026
