150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau (Persen)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,7.65,6.36,4.64,3.64,5.86,-,-,-,-,-,-,-,-,6.08,4.73,2.76,1.21,3.94,-,-,-,-,-,-,-,-,5.29,4.18,4.63,7.15,3.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.59,13.37,11.99,12.68,13.93,-,-,-,-,-,-,-,-
MEULABOH,3.69,5.38,3.72,3.2,4.6,-,-,-,-,-,-,-,-,3.42,5.44,3.86,3.04,4.85,-,-,-,-,-,-,-,-,-1.05,-0.6,0.59,0.54,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.66,6.15,3.71,4.26,4.26,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,7.71,4.15,4.89,4.85,8.62,-,-,-,-,-,-,-,-,8.59,4.13,4.57,4.47,9.19,-,-,-,-,-,-,-,-,-1.14,-1.14,0.25,0.07,2.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.42,6.02,7.87,8.18,8.01,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,5.69,7.09,6.57,4.02,7.19,-,-,-,-,-,-,-,-,6.23,7.86,7.27,4.22,7.94,-,-,-,-,-,-,-,-,1.3,1.32,1.31,1.09,1.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.49,3.73,3.53,3.89,4.24,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,5.28,5.67,5.79,4.93,6.2,-,-,-,-,-,-,-,-,5.73,6.24,6.65,5.7,7.28,-,-,-,-,-,-,-,-,-0.21,-0.32,0.1,0.11,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.17,4.17,2.33,1.77,1.58,-,-,-,-,-,-,-,-
KAB LABUHANBATU,1.27,3.05,2.04,3.4,7.02,-,-,-,-,-,-,-,-,0.43,2.83,1.79,3.55,8.14,-,-,-,-,-,-,-,-,6.63,4.76,1.95,1.15,1.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.91,3.61,3.25,3.42,3.51,-,-,-,-,-,-,-,-
KAB KARO,1.4,2.18,2.28,3.03,5.71,-,-,-,-,-,-,-,-,1.98,2.98,3.11,3.64,6.93,-,-,-,-,-,-,-,-,-0.84,-0.69,-0.63,0.85,-0.4,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-0.91,-0.91,-0.91,0.63,1.21,-,-,-,-,-,-,-,-
